analysis_family,sensitivity_dimension,sensitivity_group,selection_rule,metric_or_mode,effect_definition,n_pairs,pair_ids,estimate,n_primary_clusters,primary_ci_low,primary_ci_high,primary_p_two_sided_sign_tail,n_connected_components,component_ci_low,component_ci_high,component_p_two_sided_sign_tail,decision_role
CRITERION_B,control_sequence_relation,CROSS_SEQUENCE_CONTROL,primary_sequence!=control_sequence,mrm1,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),9,R3-D01;R3-D02;R3-D06;R3-D07;R3-D08;R3-D09;R3-D10;R3-D11;R3-D12,-0.035029067835483492,9,-0.068232238350846852,-0.0097818099652144247,0.0011998800119988001,7,-0.073898231761576949,-0.0089537889739526345,0.0039996000399960003,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,control_sequence_relation,CROSS_SEQUENCE_CONTROL,primary_sequence!=control_sequence,mrm2,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),9,R3-D01;R3-D02;R3-D06;R3-D07;R3-D08;R3-D09;R3-D10;R3-D11;R3-D12,-0.0016878078389786946,9,-0.050190014570587471,0.043666733387075524,0.96870312968703132,7,-0.05555698198712665,0.045635715243575591,0.94230576942305766,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,control_sequence_relation,CROSS_SEQUENCE_CONTROL,primary_sequence!=control_sequence,mrm3,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),9,R3-D01;R3-D02;R3-D06;R3-D07;R3-D08;R3-D09;R3-D10;R3-D11;R3-D12,-0.012989616492958768,9,-0.052855992019807348,0.017349703254494014,0.53494650534946508,7,-0.059405486538198139,0.016821823664827304,0.51554844515548448,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,control_sequence_relation,CROSS_SEQUENCE_CONTROL,primary_sequence!=control_sequence,mrm4,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),9,R3-D01;R3-D02;R3-D06;R3-D07;R3-D08;R3-D09;R3-D10;R3-D11;R3-D12,-0.03208098208727192,9,-0.11597014962419051,0.025196965668098328,0.46895310468953105,7,-0.13174438394050983,0.019775929883284932,0.47515248475152483,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,control_sequence_relation,CROSS_SEQUENCE_CONTROL,primary_sequence!=control_sequence,mrm5,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),9,R3-D01;R3-D02;R3-D06;R3-D07;R3-D08;R3-D09;R3-D10;R3-D11;R3-D12,-0.084046588281224466,9,-0.22258411144942356,0.065812064189002692,0.25577442255774424,7,-0.21114552615305815,0.085118887991649392,0.29637036296370362,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,control_sequence_relation,CROSS_SEQUENCE_CONTROL,primary_sequence!=control_sequence,mrm6,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),9,R3-D01;R3-D02;R3-D06;R3-D07;R3-D08;R3-D09;R3-D10;R3-D11;R3-D12,-0.028624961093528061,9,-0.1412225616564674,0.063233088450448768,0.62813718628137183,7,-0.14911605450205451,0.06863937571083209,0.61493850614938506,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,control_sequence_relation,CROSS_SEQUENCE_CONTROL,primary_sequence!=control_sequence,early,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),9,R3-D01;R3-D02;R3-D06;R3-D07;R3-D08;R3-D09;R3-D10;R3-D11;R3-D12,-0.011753766303059751,9,-0.053201957362349429,0.026759164645821655,0.57734226577342262,7,-0.056765653315960847,0.029508377490756531,0.58774122587741229,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,control_sequence_relation,CROSS_SEQUENCE_CONTROL,primary_sequence!=control_sequence,middle,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),9,R3-D01;R3-D02;R3-D06;R3-D07;R3-D08;R3-D09;R3-D10;R3-D11;R3-D12,-0.0053604325736734725,9,-0.078770449588449046,0.057309700671656014,0.93730626937306272,7,-0.088488222242202236,0.056081393341943522,0.94650534946505349,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,control_sequence_relation,CROSS_SEQUENCE_CONTROL,primary_sequence!=control_sequence,late,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),9,R3-D01;R3-D02;R3-D06;R3-D07;R3-D08;R3-D09;R3-D10;R3-D11;R3-D12,-0.12888861879231228,9,-0.32624471587012138,0.064132440669548665,0.20417958204179582,7,-0.30891846803726219,0.085484347710816505,0.24457554244575541,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_A,sensitivity_stratum,STRONG_SAME_SEQUENCE,sensitivity_stratum=STRONG_SAME_SEQUENCE,iou_weakness,mean_pair(control_mean_iou-primary_mean_iou),2,R3-D03;R3-D04,0.025359773303651356,1,0.025359773303651356,0.025359773303651356,0.00019998000199980003,1,0.025359773303651356,0.025359773303651356,0.00019998000199980003,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_A,sensitivity_stratum,STRONG_SAME_SEQUENCE,sensitivity_stratum=STRONG_SAME_SEQUENCE,failure_weakness,mean_pair(primary_failure_rate-control_failure_rate); failure=iou<0.5,2,R3-D03;R3-D04,0,1,0,0,1,1,0,0,1,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
CRITERION_B,sensitivity_stratum,STRONG_SAME_SEQUENCE,sensitivity_stratum=STRONG_SAME_SEQUENCE,mrm1,mean_pair(mean_primary(baseline_iou-ablation_iou)-mean_control(baseline_iou-ablation_iou)),2,R3-D03;R3-D04,-0.009817149177530014,1,-0.0098171491775300157,-0.009817149177530014,0.00019998000199980003,1,-0.0098171491775300157,-0.009817149177530014,0.00019998000199980003,LOCKED_DESCRIPTIVE_SENSITIVITY_ONLY
