"source_paper_id","queried_doi","crossref_doi","crossref_type","published_year","canonical_title","container_title","volume","page","article_number","publisher","source_url","retrieved_utc"
"P011","10.1016/j.inffus.2025.103374","10.1016/j.inffus.2025.103374","journal-article","2025","CLDTracker: A Comprehensive Language Description for visual Tracking","Information Fusion","124","103374","103374","Elsevier BV","https://doi.org/10.1016/j.inffus.2025.103374","2026-08-30"
"P012","10.1016/j.jvcir.2026.104884","10.1016/j.jvcir.2026.104884","journal-article","2026","Context-aware token pruning and discriminative selective attention for transformer tracking","Journal of Visual Communication and Image Representation","119","104884","104884","Elsevier BV","https://doi.org/10.1016/j.jvcir.2026.104884","2026-08-30"
"P013","10.1109/tpami.2024.3448254","10.1109/tpami.2024.3448254","journal-article","2024","Correlation-Embedded Transformer Tracking: A Single-Branch Framework","IEEE Transactions on Pattern Analysis and Machine Intelligence","46","10681-10696",,"Institute of Electrical and Electronics Engineers (IEEE)","https://doi.org/10.1109/tpami.2024.3448254","2026-08-30"
"P014","10.1016/j.neunet.2025.108179","10.1016/j.neunet.2025.108179","journal-article","2026","CSCL: Bridging the plasticity-stability gap in continuous supervised contrastive learning","Neural Networks","196","108179","108179","Elsevier BV","https://doi.org/10.1016/j.neunet.2025.108179","2026-08-30"
"P015","10.1007/s10489-025-06791-w","10.1007/s10489-025-06791-w","journal-article","2025","DATrack: direction attention based transformer tracker","Applied Intelligence","55",,"897","Springer Science and Business Media LLC","https://doi.org/10.1007/s10489-025-06791-w","2026-08-30"
"P017","10.1109/ijcnn64981.2025.11227771","10.1109/ijcnn64981.2025.11227771","proceedings-article","2025","Discriminative Pruning Networks for Visual Tracking with Adaptive Foreground Prediction","2025 International Joint Conference on Neural Networks (IJCNN)",,"1-8",,"IEEE","https://doi.org/10.1109/ijcnn64981.2025.11227771","2026-08-30"
"P018","10.1109/iros60139.2025.11247730","10.1109/iros60139.2025.11247730","proceedings-article","2025","Efficient and Accurate Low-Resolution Transformer Tracking","2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)",,"20677-20684",,"IEEE","https://doi.org/10.1109/iros60139.2025.11247730","2026-08-30"
"P020","10.1109/tip.2025.3598934","10.1109/tip.2025.3598934","journal-article","2025","Enhancing the Two-Stream Framework for Efficient Visual Tracking","IEEE Transactions on Image Processing","34","5500-5512",,"Institute of Electrical and Electronics Engineers (IEEE)","https://doi.org/10.1109/tip.2025.3598934","2026-08-30"
"P021","10.1016/j.neucom.2026.134151","10.1016/j.neucom.2026.134151","journal-article","2026","EnTeR-Track: Efficient UAV tracking via entropy-guided pruning and reversible token recovery","Neurocomputing","696","134151","134151","Elsevier BV","https://doi.org/10.1016/j.neucom.2026.134151","2026-08-30"
"P022","10.1007/s11263-025-02500-9","10.1007/s11263-025-02500-9","journal-article","2025","Exploiting Lightweight Hierarchical ViT and Dynamic Framework for Efficient Visual Tracking","International Journal of Computer Vision","133","6689-6711",,"Springer Science and Business Media LLC","https://doi.org/10.1007/s11263-025-02500-9","2026-08-30"
