pair_id,side,sequence,condition,repetition,execution_order,interval_end_to_end_ms,tracked_frames,start_snapshot_sha256
R3-D04,control,Liquor,baseline,1,97,5999.7198000055505,25,7b754cad573121b199422431fe9107b065df2d525ad3b3516d4dc4148326d426
R3-D04,control,Liquor,whole_mrm1_physical_skip,1,98,5779.776200004562,25,7b754cad573121b199422431fe9107b065df2d525ad3b3516d4dc4148326d426
R3-D04,control,Liquor,whole_mrm1_physical_skip,2,99,5737.400500001968,25,7b754cad573121b199422431fe9107b065df2d525ad3b3516d4dc4148326d426
R3-D04,control,Liquor,baseline,2,100,6267.099099997722,25,7b754cad573121b199422431fe9107b065df2d525ad3b3516d4dc4148326d426
R3-D04,control,Liquor,baseline,3,101,6000.885400004336,25,7b754cad573121b199422431fe9107b065df2d525ad3b3516d4dc4148326d426
R3-D04,control,Liquor,whole_mrm1_physical_skip,3,102,6086.920900001132,25,7b754cad573121b199422431fe9107b065df2d525ad3b3516d4dc4148326d426
R3-D04,primary,Liquor,whole_mrm1_physical_skip,1,103,6349.64680000121,25,9cdf7f1f207cbbe33307160608923e15b7fc9a8504ec45d9589640446a8c42ed
R3-D04,primary,Liquor,baseline,1,104,6122.6529000050505,25,9cdf7f1f207cbbe33307160608923e15b7fc9a8504ec45d9589640446a8c42ed
R3-D04,primary,Liquor,baseline,2,105,6547.08770000434,25,9cdf7f1f207cbbe33307160608923e15b7fc9a8504ec45d9589640446a8c42ed
R3-D04,primary,Liquor,whole_mrm1_physical_skip,2,106,5866.530399995099,25,9cdf7f1f207cbbe33307160608923e15b7fc9a8504ec45d9589640446a8c42ed
R3-D04,primary,Liquor,whole_mrm1_physical_skip,3,107,5963.264300000446,25,9cdf7f1f207cbbe33307160608923e15b7fc9a8504ec45d9589640446a8c42ed
R3-D04,primary,Liquor,baseline,3,108,6076.66959999915,25,9cdf7f1f207cbbe33307160608923e15b7fc9a8504ec45d9589640446a8c42ed
