pair_id,side,sequence,frame_index,condition,repetition,execution_order,model_forward_ms,peak_allocated_bytes,peak_reserved_bytes,batch_size,dtype,diagnostic_logging,record_call_counts,physical_skip
R3-D01,primary,Basketball,401,whole_mrm1_physical_skip,2,4,673.2641999988118,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,402,whole_mrm1_physical_skip,2,4,545.8520000029239,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,403,whole_mrm1_physical_skip,2,4,552.5137000004179,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,404,whole_mrm1_physical_skip,2,4,614.7932000021683,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,405,whole_mrm1_physical_skip,2,4,467.8578999955789,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,406,whole_mrm1_physical_skip,2,4,463.0120000001625,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,407,whole_mrm1_physical_skip,2,4,617.0972000036272,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,408,whole_mrm1_physical_skip,2,4,512.0285999946645,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,409,whole_mrm1_physical_skip,2,4,562.2462999963318,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,410,whole_mrm1_physical_skip,2,4,542.1864000018104,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,411,whole_mrm1_physical_skip,2,4,653.8314999997965,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,412,whole_mrm1_physical_skip,2,4,654.8254000008455,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,413,whole_mrm1_physical_skip,2,4,559.6824000022025,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,414,whole_mrm1_physical_skip,2,4,744.5547000024817,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,415,whole_mrm1_physical_skip,2,4,815.8477999968454,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,416,whole_mrm1_physical_skip,2,4,655.1390999957221,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,417,whole_mrm1_physical_skip,2,4,756.6845999972429,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,418,whole_mrm1_physical_skip,2,4,854.9578000020119,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,419,whole_mrm1_physical_skip,2,4,592.7815000031842,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,420,whole_mrm1_physical_skip,2,4,420.38809999939986,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,421,whole_mrm1_physical_skip,2,4,425.39940000278875,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,422,whole_mrm1_physical_skip,2,4,444.44799999473616,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,423,whole_mrm1_physical_skip,2,4,496.86929999734275,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,424,whole_mrm1_physical_skip,2,4,411.9023000021116,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,425,whole_mrm1_physical_skip,2,4,392.63889999710955,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,426,whole_mrm1_physical_skip,2,4,466.95940000063274,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,427,whole_mrm1_physical_skip,2,4,476.881599999615,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,428,whole_mrm1_physical_skip,2,4,461.61730000312673,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,429,whole_mrm1_physical_skip,2,4,458.66299999761395,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,430,whole_mrm1_physical_skip,2,4,471.5758999955142,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,431,whole_mrm1_physical_skip,2,4,520.9630999961519,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,432,whole_mrm1_physical_skip,2,4,546.2027999965358,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,433,whole_mrm1_physical_skip,2,4,594.5748000012827,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,434,whole_mrm1_physical_skip,2,4,484.1554000013275,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,435,whole_mrm1_physical_skip,2,4,459.6469000025536,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,397,whole_mrm1_physical_skip,3,5,621.199200002593,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,398,whole_mrm1_physical_skip,3,5,475.3236999968067,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,399,whole_mrm1_physical_skip,3,5,433.0145999992965,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,400,whole_mrm1_physical_skip,3,5,581.605600003968,140518912,165675008,1,torch.float32,False,False,True
