pair_id,side,sequence,frame_index,comparison,maximum_float_bbox_abs_diff,integer_bbox_exact,score_map_max_abs_diff,confidence_abs_diff,left_end_state_sha256,right_end_state_sha256,continuation_state_exact,tolerance,status
R3-D05,primary,Car4,126,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,True,1e-06,PASS
R3-D05,primary,Car4,127,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,True,1e-06,PASS
R3-D05,primary,Car4,128,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,True,1e-06,PASS
R3-D05,primary,Car4,129,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,True,1e-06,PASS
R3-D05,primary,Car4,130,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,True,1e-06,PASS
R3-D05,primary,Car4,131,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,True,1e-06,PASS
R3-D05,primary,Car4,132,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,True,1e-06,PASS
R3-D05,primary,Car4,133,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,True,1e-06,PASS
R3-D05,primary,Car4,134,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,True,1e-06,PASS
R3-D05,primary,Car4,135,WHOLE_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,11dde60d28d0ce42838cc9043e5586f54d7383bc7ed7d62141a81a4a53b99ff2,True,1e-06,PASS
